travfreq,empl,jobsat1,jobsat2,jobsat3,roleover1,roleover2,roleover3,workadj1,workadj2,workadj3,workadj4,workadj5,workadj6,workadj7,workadj8,workadj9,turnover1,turnover2,turnover3,wneglect1,wneglect2,wneglect3,wneglect4,wneglect5,wneglect6,wsitcon1,wsitcon2,wsitcon3,wsitcon4,wrclar1,wrclar2,wrclar3,wrclar4,wrclar5,wrclar6,wtimepres1,wtimepres2,wtimepres3,wtimepres4,wnovel1,wnovel2,wnovel3,wnovel4,wcowinsexphelp 1,wcowinsexphelp 2,wcowinsexphelp 3,wcowinsexphelp 4,wroleconflict 1,wroleconflict 2,wroleconflict 3,wintconflictd 1,wintconflictd 2,wintconflictd 3,wintconflictd 4,wintconflictf 1,wintconflictf 2,wintconflictf 3,wemotdem 1,wemotdem 2,wemotdem 3,wemotdem 4,wemotdem 5,wpeopresp1,wpeopresp2,wpeopresp3,wpeopresp4,wpeopresp5,wallcowexp1,wallcowexp2,wallcowexp3,wallcowexp4,wallcowexp5,wallcowexp6,wallcowexp7,wallcowexp8,wallcowexp9,wallcowexp10,wallcowexp11,wallcowexp12,cowint,cowdep,wteams,wcom,Unnamed: 85,fsat1,fsat2,fsat3,fneglect1,fneglect2,fneglect3,fneglect4,fneglect5,fneglect6,fadj1,fadj2,fadj3,fadj4,fadj5,fadj6,fadj7,fadj8,fadj9,wfc1,wfc2,wfc3,wfc4,wfc5,ftimepres1,ftimepres2,ftimepres3,ftimepres4,check2,faminstexp1,faminstexp2,faminstexp3,faminstexp4,femotdem1,femotdem2,femotdem3,femotdem4,froleover1,froleover2,froleover3,froleconf1,froleconf2,froleconf3,fintconfd1,fintconfd2,fintconfd3,fintconfd4,fintconff1,fintconff2,fintconff3,famallexp1,famallexp2,famallexp3,famallexp4,famallexp5,famallexp6,famallexp7,famallexp8,famallexp9,famallexp10,famallexp11,famallexp12,burn1,burn2,burn3,burn4,burn5,burn6,burn7,burn8,burn9,burn10,burn11,burn12,burn13,burn14,burn15,burn16,burn17,burn18,burn19,burn20,burn21,supsup1,cowsup1,parsup1,famsup1,supsup2,cowsup2,parsup2,famsup2,supsup3,cowsup3,parsup3,famsup3,supsup4,cowsup4,parsup4,famsup4,cogflex1,cogflex2,cogflex3,cogflex4,cogflex5,cogflex6,cogflex7,cogflex8,cogflex9,cogflex10,cogflex11,cogflex12,houswork,childwork,marstat,children,whours,tenure,position,education,gender,age,industry,nationality,residence,feeltravel,yearstravel,numbertravel,daysknowtravel,meettravel,flytravel,countrytravel,daystrip,reasontrip,weekendtrip,average_jobsat,average_roleover,average_workadj,average_turnover,average_wneglect,average_wsitcon,average_wrclar,average_wtimepres,average_wnovel,average_wcowinsexphelp,average_wroleconflict,average_wintconflictd,average_wintconflictf,average_wemotdem,average_wpeopresp,average_wallcowexp,average_famallexp,average_burn,average_cogflex,average_supsup,average_cowsup,average_parsup,average_famsup,average_fadj,average_fsat,average_fneglect,average_wfc,average_ftimepres,average_faminstexp,average_femotdem,average_froleover,average_froleconf,average_fintconfd,average_fintconff
3,1,4,4,4,4,5,5,3,3,3,3,3,4,4,4,4,3.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,3,3,3,3,3,3,3,3,4,3,2,2,3,3,3,3,3,4,3,3,3,3,3,3,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5.0,5.0,5.0,3,3,3,4,3,3,3,3,3,3,3,3,10,10,1,1,survey,4,4,4,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,2,1,1,1,1,2,1,1,3,3,3,3,3,3,2,1,1,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,5,4,4,5,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,1,4,3,3,1,4,3,3,1,3,3,3,1,3,4,4,2,3,3,3,3,3,3,3,3,4,1,0,4,1,60,15.0,4,4.0,1,50,8.0,caucasian,usa,2,10.0,1,21,5,2,China,21.0,3,2,4.0,4.666666666666667,3.4444444444444446,3.3333333333333335,1.0,3.0,3.1666666666666665,2.5,3.25,3.0,3.3333333333333335,1.0,1.0,1.0,3.4,3.0833333333333335,3.0,1.8095238095238095,3.1666666666666665,3.0,3.0,1.0,3.5,3.0,4.0,2.0,3.0,3.0,1.25,1.25,3.0,3.0,1.5,2.0
3,1,5,4,4,5,5,4,5,4,4,4,5,5,4,4,5,5.0,4.0,4.0,2.0,2.0,2.0,1.0,1.0,1.0,4,4,3,1,5,4,4,5,5,5,4,2,4,4,5,4,4,4,4,5,4,4,4,4,4,3,4,4,4,3,4,4,5,3,4,2,4,6,5,4.0,6.0,6.0,5,4,4,4,5,4,5,5,4,4,5,5,250,120,10,4,'survey',4,4,5,3,2,1,1,1,1,2,2,2,1,3,2,2,2,1,3,2,2,3,3,2,2,3,2,5,2,3,2,2,5,4,2,2,3,3,3,3,3,3,3,3,2,3,3,2,3,3,4,4,3,5,4,5,4,4,3,4,4,5,5,4,6,6,4,5,4,4,4,4,5,5,4,3,3,4,2,4,4,3,3,5,4,4,4,5,4,3,4,5,3,3,5,4,4,4,4,2,2,2,3,4,5,4,4,3,5,5,15,15,1,1,50,18.0,2,3.0,2,63,7.0,Spanish,USA,2,5.0,2,3,4,2,Brazil,6.0,1,3,4.333333333333333,4.666666666666667,4.444444444444445,4.333333333333333,1.5,3.0,4.666666666666667,3.5,4.25,4.25,4.0,3.75,3.6666666666666665,3.6,5.4,4.5,3.9166666666666665,4.190476190476191,3.5833333333333335,4.0,4.75,3.75,3.5,1.8888888888888888,4.333333333333333,1.5,2.6,2.25,2.25,3.25,3.0,3.0,2.75,2.6666666666666665
4,1,4,4,4,3,5,4,4,4,3,3,4,3,3,5,4,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2,4,3,2,2,3,4,2,2,3,3,5,4,5,3,3,4,2,2,4,2,3,4,3,3,2,2,3,2,3,3,3,4,4,4,2,2,5,4,4.0,4.0,3.0,3,5,5,3,1,3,4,4,4,4,3,2,12,5,2,3,survey,4,3,4,1,2,2,1,1,2,3,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,5,5,5,2,5,3,5,3,2,3,3,4,3,5,3,1,4,2,2,1,2,3,3,4,5,5,5,4,2,4,4,5,5,5,5,4,6,3,4,6,4,4,5,3,4,5,2,1,4,3,2,3,1,1,5,4,4,2,3,3,3,3,5,5,4,3,4,5,4,3,4,4,4,4,2,1,4,2,4,5,4,5,2,5,3,20,26,1,2,45,2.0,2,4.0,2,29,9.0,English,USA,2,2.0,2,20,9,2,"England, France, Spain, Germany",5.0,5,3,4.0,4.0,3.6666666666666665,2.0,1.8333333333333333,2.75,2.6666666666666665,4.25,3.0,2.75,3.3333333333333335,2.25,3.0,3.2,4.0,3.4166666666666665,4.416666666666667,3.5238095238095237,3.4166666666666665,2.75,4.0,4.25,3.75,3.888888888888889,3.6666666666666665,1.5,4.0,4.25,3.75,2.75,4.0,2.6666666666666665,1.75,3.3333333333333335
4,1,4,4,4,2,3,4,4,4,2,3,4,5,3,3,4,4.0,3.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,5,4,4,2,4,2,4,1,3,1,3,4,3,3,5,2,4,5,2,4,3,4,4,3,4,1,2,2,1,3,3,4,2,3,3,1,2,5,4,6.0,6.0,6.0,4,5,5,5,2,5,5,5,3,3,3,3,50,3,5,1,survey,5,5,5,3,3,4,1,4,3,4,4,5,3,5,5,3,1,3,1,4,4,3,3,1,3,4,3,5,1,1,2,2,5,1,1,1,2,5,3,1,2,1,1,1,1,1,2,2,2,1,3,2,1,1,1,1,1,1,1,1,1,5,4,4,4,4,5,1,3,3,4,1,3,4,3,1,4,1,6,5,3,4,4,4,5,5,4,4,5,5,3,2,5,4,4,3,5,5,2,4,2,4,1,5,3,4,3,2,5,2,10,0,2,0,45,1.0,3,3.0,2,26,13.0,Japanese,USA,1,1.0,1,14,3,1,"Japan, US",5.0,4,3,4.0,3.0,3.5555555555555554,3.6666666666666665,1.0,3.75,2.5,3.25,4.0,3.25,3.6666666666666665,1.5,3.3333333333333335,2.2,5.4,4.0,1.25,3.4285714285714284,3.0833333333333335,3.75,3.25,5.0,4.75,3.6666666666666665,5.0,3.0,3.0,2.75,1.5,2.0,3.3333333333333335,1.3333333333333333,1.0,2.0
3,1,4,4,4,2,2,2,4,4,4,4,4,3,3,3,4,3.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2,3,2,2,3,4,4,3,4,4,3,3,2,4,3,2,3,4,2,4,2,3,3,2,3,2,2,2,2,3,3,3,3,4,2,2,2,4,4,5.0,4.0,4.0,3,4,4,4,4,4,4,3,4,4,3,3,25,10,2,2,survey,3,3,4,1,1,1,1,1,1,3,4,4,4,4,3,4,3,3,2,2,3,2,4,3,2,4,3,5,3,2,3,3,4,2,2,2,2,4,2,3,2,3,3,3,2,2,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,5,4,6,4,4,6,3,2,2,2,2,2,2,2,2,2,2,2,6,6,2,4,3,5,5,4,4,5,5,4,4,5,5,4,3,5,5,5,1,1,5,1,5,5,5,5,1,5,5,20,20,1,2,50,12.0,2,3.0,1,44,5.0,american,United States,3,2.0,1,30,3,2,canada and mexico,14.0,5,3,4.0,2.0,3.6666666666666665,2.3333333333333335,1.0,2.25,3.6666666666666665,3.0,3.0,2.75,2.6666666666666665,2.0,3.0,2.6,4.2,3.6666666666666665,4.0,3.238095238095238,3.6666666666666665,4.0,3.5,5.0,5.0,3.5555555555555554,3.3333333333333335,1.0,2.6,3.0,2.75,2.5,2.6666666666666665,2.6666666666666665,2.5,3.0
3,1,5,5,4,5,4,4,5,5,4,4,3,4,5,5,4,4.0,5.0,4.0,5.0,4.0,4.0,5.0,4.0,5.0,3,4,1,2,4,5,5,5,4,4,2,4,1,2,5,5,5,5,4,5,5,4,2,4,5,1,2,1,1,1,1,4,2,3,3,4,2,5,4,3.0,4.0,3.0,2,3,4,4,4,5,4,3,2,3,3,5,50,10,3,2,survey,4,5,5,4,5,3,4,4,5,3,4,5,5,4,3,3,4,4,3,4,5,5,5,3,4,4,3,5,3,3,4,5,5,5,2,3,2,5,1,2,1,5,1,1,1,2,1,1,1,4,4,5,3,4,4,4,5,4,3,5,4,1,1,6,4,3,6,5,2,2,1,1,1,4,3,2,3,2,2,6,7,3,4,5,4,5,4,5,5,5,5,5,5,5,5,4,5,5,1,1,1,1,2,4,5,5,5,1,5,4,5,8,1,2,45,4.0,1,4.0,1,28,7.0,Asian,USA,1,2.0,3,5,3,3,Australia,5.0,5,1,4.666666666666667,4.333333333333333,4.333333333333333,4.333333333333333,4.5,2.5,4.5,2.25,5.0,4.5,3.6666666666666665,1.25,2.0,2.8,3.8,3.5,4.083333333333333,3.0952380952380953,2.9166666666666665,4.5,4.75,4.75,5.0,3.888888888888889,4.666666666666667,4.166666666666667,4.4,3.5,3.75,3.75,2.6666666666666665,2.6666666666666665,1.25,1.0
3,1,3,4,4,2,2,3,4,4,4,3,4,4,4,4,4,5.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,3,4,2,2,4,4,5,5,5,5,3,3,4,4,1,1,1,1,2,3,3,2,2,2,3,1,1,1,1,2,2,2,2,4,4,1,2,5,4,3.0,4.0,4.0,2,3,3,3,2,3,3,3,3,3,3,3,25,5,1,0,survey,5,5,5,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,1,2,1,1,1,1,1,1,1,5,2,1,2,2,5,1,1,1,2,5,1,1,1,1,1,1,1,1,1,1,2,3,4,5,4,3,3,3,3,5,4,4,4,4,1,6,2,2,6,4,1,1,1,1,1,1,1,1,1,1,1,7,6,4,4,4,5,5,5,5,5,5,5,4,5,5,5,4,5,5,5,2,2,4,2,4,5,5,5,1,5,5,10,0,1,0,50,35.0,1,3.0,1,64,13.0,american,u.s.,3,10.0,1,20,1,2,england,3.0,5,3,3.6666666666666665,2.3333333333333335,3.888888888888889,3.3333333333333335,1.0,2.75,4.666666666666667,3.5,1.0,2.5,2.3333333333333335,1.0,2.0,2.6,4.0,2.8333333333333335,3.75,2.5238095238095237,3.75,4.75,4.25,5.0,5.0,5.0,5.0,1.0,1.2,1.0,1.75,2.0,2.6666666666666665,1.0,1.0,1.3333333333333333
4,1,4,4,3,4,3,4,4,4,4,3,4,4,3,3,4,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2,2,2,2,4,4,4,4,4,4,2,2,2,3,4,4,4,4,3,4,3,3,2,2,3,2,2,1,1,1,1,1,4,4,4,4,4,4,4,4.0,4.0,4.0,4,4,3,4,3,3,4,4,4,4,4,5,10,10,2,2,survey,5,5,5,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,5,1,1,1,2,4,2,1,2,2,2,2,2,2,2,1,1,1,2,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,2,1,6,4,4,7,3,2,2,2,2,1,1,1,1,1,1,1,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,2,2,2,2,4,4,4,4,2,4,4,8,10,1,2,50,10.0,1,3.0,1,41,7.0,USA White,USA,1,10.0,2,7,3,2,Germany,7.0,1,1,3.6666666666666665,3.6666666666666665,3.6666666666666665,2.0,1.0,2.0,4.0,2.25,4.0,3.25,2.3333333333333335,1.5,1.0,4.0,4.0,3.8333333333333335,4.0,2.8095238095238093,3.1666666666666665,5.0,5.0,5.0,5.0,4.0,5.0,1.0,2.0,2.0,1.25,2.25,2.0,2.0,1.25,1.0
4,1,5,5,5,1,3,1,5,5,5,5,4,4,4,4,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,2,2,4,4,5,5,5,5,5,1,3,3,2,1,1,1,1,2,4,2,2,2,2,2,1,1,1,1,2,2,2,3,5,2,1,1,4,5,4.0,5.0,4.0,3,3,2,3,3,3,5,5,3,3,4,2,20,6,1,1,Survey,5,5,5,1,3,1,1,3,3,5,5,5,5,5,5,5,5,5,1,2,2,2,5,3,3,2,3,5,2,1,2,3,3,1,1,1,2,4,3,1,1,1,1,1,1,1,2,2,2,3,3,3,2,3,3,3,3,3,3,3,3,3,1,6,3,1,6,3,1,2,3,1,1,2,2,2,2,1,1,6,6,2,1,3,4,3,1,4,4,4,1,4,4,4,1,2,4,4,3,2,1,3,1,3,5,5,3,1,4,5,7,0,1,0,70,10.0,1,4.0,2,36,2.0,US,uS,1,10.0,1,10,30,2,France,10.0,1,1,5.0,1.6666666666666667,4.444444444444445,1.0,1.0,2.5,4.833333333333333,2.25,1.0,2.5,2.0,1.0,2.0,2.4,4.4,3.25,2.9166666666666665,2.619047619047619,3.0,1.0,3.25,4.0,3.75,5.0,5.0,2.0,2.4,2.75,2.0,1.5,3.0,1.0,1.0,2.0
3,1,4,4,4,4,4,4,3,3,2,2,3,3,3,3,3,3.0,3.0,3.0,3.0,2.0,2.0,3.0,1.0,1.0,3,4,4,3,4,4,4,3,4,4,2,4,4,4,3,3,3,3,2,3,3,3,5,4,4,2,2,2,2,2,3,3,2,5,3,2,2,5,5,5.0,4.0,5.0,3,4,4,4,4,4,4,4,4,3,4,4,5,9,3,3,survey,5,5,5,3,3,3,3,3,3,3,3,4,3,4,3,3,3,3,4,4,4,4,4,2,4,4,4,5,2,2,2,3,5,2,2,2,2,4,4,3,3,3,1,1,1,1,1,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,4,6,5,5,6,1,1,2,2,2,1,4,4,2,2,6,1,6,6,5,2,3,5,4,4,4,5,4,3,3,5,4,2,2,5,4,3,4,4,3,3,3,4,4,3,4,4,4,10,15,1,1,45,1.0,2,2.0,1,24,9.0,colombiano,EEUU,2,1.0,1,15,3,2,mexico,3.0,1,3,4.0,4.0,2.7777777777777777,3.0,2.0,3.5,3.8333333333333335,3.5,3.0,2.75,4.333333333333333,2.0,2.6666666666666665,2.8,4.8,3.8333333333333335,5.0,3.619047619047619,3.5833333333333335,2.75,3.0,5.0,4.0,3.2222222222222223,5.0,3.0,4.0,3.5,2.25,2.75,3.3333333333333335,3.0,1.0,1.6666666666666667
3,1,4,4,4,4,4,1,5,5,5,5,5,5,5,5,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1,1,5,5,5,3,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,5,5,5,1,1,6,6,6.0,6.0,6.0,5,5,5,5,5,5,5,5,5,5,5,5,250,500,15,6,survey,5,5,5,5,5,1,1,1,1,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,1,1,1,4,4,4,3,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,1,1,7,1,1,7,1,1,1,1,1,1,1,1,1,1,1,1,7,7,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,5,5,1,1,1,1,1,45,25,1,1,45,8.64982269503546,2,4.0,2,38,13.0,latino,USA,1,7.0,4,2,8,3,china,3.0,5,1,4.0,3.0,5.0,1.0,1.0,1.0,3.3333333333333335,1.0,5.0,5.0,5.0,1.0,1.0,3.4,6.0,5.0,5.0,2.142857142857143,2.0,5.0,5.0,5.0,5.0,5.0,5.0,2.3333333333333335,1.0,1.0,5.0,5.0,1.0,4.0,1.5,1.0
4,1,4,4,4,3,4,4,4,4,3,3,4,4,4,4,4,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2,2,2,3,3,4,4,4,4,4,3,4,3,3,3,4,4,4,3,3,3,2,3,3,4,2,2,2,2,3,3,3,4,4,4,3,3,5,5,5.0,5.0,5.0,5,5,5,5,5,5,5,5,5,5,5,5,10,10,1,4,survey,4,4,4,2,2,3,3,3,3,3,3,3,4,4,4,4,4,4,3,2,2,2,4,2,3,3,3,5,4,3,3,3,4,2,2,2,2,4,3,2,3,3,2,2,2,2,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,4,3,6,4,4,6,3,2,2,2,2,2,2,2,2,4,2,2,6,6,4,3,4,4,4,4,4,5,5,4,4,4,4,4,4,5,5,4,3,2,4,2,4,4,4,4,4,4,4,2,2,1,1,40,5.0,2,4.0,1,25,5.0,american,usa,3,3.0,1,15,3,1,china,3.0,2,1,4.0,3.6666666666666665,3.7777777777777777,1.3333333333333333,2.0,2.25,3.8333333333333335,3.25,3.75,2.75,3.3333333333333335,2.0,3.0,3.6,5.0,5.0,5.0,3.3333333333333335,3.5833333333333335,3.75,4.0,4.5,4.5,3.6666666666666665,4.0,2.6666666666666665,2.6,2.75,3.25,2.5,3.0,2.6666666666666665,2.0,2.0
4,1,4,5,4,4,4,4,4,5,5,3,3,4,4,4,5,4.0,4.0,4.0,3.0,4.0,5.0,4.0,4.0,5.0,4,4,4,4,5,5,4,4,4,4,4,5,4,3,4,4,3,4,3,3,4,3,4,3,3,4,3,3,2,3,4,4,3,4,3,3,3,5,5,5.0,5.0,4.0,3,3,3,4,4,4,5,4,3,4,4,3,20,15,3,0,Survey,5,5,5,4,4,2,1,2,5,4,3,4,4,3,5,4,5,5,4,4,5,3,4,3,4,4,4,5,4,4,3,3,4,4,4,4,3,4,4,3,3,4,2,1,4,2,2,2,5,3,4,4,2,4,3,4,3,3,4,4,4,7,4,6,6,3,5,6,2,2,4,3,1,1,1,3,2,3,1,6,6,5,3,4,1,5,3,5,1,5,3,4,1,5,2,2,1,5,4,5,4,3,4,4,4,3,4,5,4,4,10,0,2,0,40,2.0,2,3.0,1,24,6.0,Black,United States of America,1,2.0,1,14,2,2,Mexico,3.0,1,1,4.333333333333333,4.0,4.111111111111111,4.0,4.166666666666667,4.0,4.333333333333333,4.0,3.75,3.25,3.3333333333333335,3.0,3.6666666666666665,3.2,4.8,3.6666666666666665,3.5,3.6666666666666665,4.0,2.75,3.75,1.0,5.0,4.111111111111111,5.0,3.0,4.0,3.75,3.5,4.0,3.6666666666666665,3.3333333333333335,2.25,3.0
3,1,4,4,5,3,4,3,4,4,3,3,4,4,3,4,4,2.0,2.0,3.0,2.0,3.0,1.0,1.0,1.0,2.0,3,2,3,4,2,3,3,3,4,3,3,4,3,4,3,4,4,3,3,4,4,4,3,3,4,3,2,2,4,3,3,2,4,4,3,4,3,4,5,5.0,5.0,4.0,4,3,3,3,4,4,3,3,4,4,3,3,20,40,3,2,survey,3,4,4,1,1,1,1,1,2,3,4,4,4,2,3,4,4,4,4,3,4,4,4,3,4,4,4,5,3,2,3,3,4,1,1,1,4,3,3,4,4,3,3,2,2,2,3,2,2,3,2,3,3,2,2,2,2,2,2,2,2,4,1,5,3,4,6,3,2,1,1,1,1,1,1,1,1,1,1,6,5,1,2,3,5,4,3,3,5,4,2,2,5,4,2,3,5,4,4,2,2,3,3,4,3,3,4,4,3,3,20,20,1,2,45,8.0,2,4.0,1,39,12.0,chinese,us,2,6.0,1,30,3,2,china,6.0,5,3,4.333333333333333,3.3333333333333335,3.6666666666666665,2.3333333333333335,1.6666666666666667,3.0,3.0,3.5,3.5,3.75,3.3333333333333335,2.75,2.6666666666666665,3.6,4.6,3.4166666666666665,2.25,2.380952380952381,3.1666666666666665,2.25,2.75,5.0,4.0,3.5555555555555554,3.6666666666666665,1.1666666666666667,3.8,3.75,2.75,1.75,3.3333333333333335,3.6666666666666665,2.25,2.3333333333333335
4,1,4,4,4,4,2,2,4,4,4,4,4,4,4,5,5,2.0,2.0,2.0,2.0,4.0,4.0,2.0,2.0,1.0,4,4,4,2,2,3,4,3,4,3,3,4,4,3,4,4,5,4,4,5,2,2,2,2,2,4,3,2,4,3,2,2,3,4,1,2,3,3,4,3.0,5.0,5.0,3,4,2,2,3,4,3,4,3,4,3,4,24,12,2,0,survey,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,4,3,2,5,2,1,2,1,2,1,2,1,2,3,4,4,3,3,2,1,2,1,2,2,1,2,4,3,4,3,3,4,3,2,2,3,3,1,1,1,1,1,6,1,1,1,1,5,4,1,1,1,2,3,4,4,4,3,3,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,3,2,2,3,4,3,12,15,1,4,45,6.0,1,4.0,1,34,5.0,Caucasian,Xxusa,1,12.0,2,3,5,3,"UK, CANADA",7.0,3,2,4.0,2.6666666666666665,4.222222222222222,2.0,2.5,3.5,3.1666666666666665,3.5,4.25,3.25,2.0,3.25,2.3333333333333335,2.6,4.0,3.25,3.0,2.238095238095238,3.3333333333333335,3.75,4.25,4.0,4.0,2.0,4.0,2.6666666666666665,2.0,3.0,1.5,1.5,3.0,3.3333333333333335,1.5,1.6666666666666667
4,1,5,5,5,2,4,3,5,5,5,4,3,3,4,4,4,1.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,2,2,3,2,4,4,4,4,4,4,2,2,2,2,3,2,3,3,2,5,2,2,2,2,2,2,2,2,2,4,3,4,4,4,4,4,4,4,4,4.0,5.0,4.0,3,2,4,2,3,3,2,3,4,4,3,3,4,2,1,2,survey,4,4,4,1,2,1,2,2,1,4,4,4,3,4,4,4,4,4,2,3,3,3,2,3,3,2,3,5,2,2,3,3,2,3,3,3,2,3,2,3,2,3,2,2,1,2,2,2,2,2,2,3,3,3,2,2,3,3,3,2,3,4,3,5,4,4,4,3,4,4,4,3,4,3,3,4,4,4,4,3,4,4,4,4,5,4,4,5,4,5,4,4,5,4,3,3,5,3,4,3,4,4,4,3,4,3,3,3,4,3,4,0,1,1,55,4.0,1,5.0,1,50,13.0,us,us,1,4.0,1,30,4,3,spain,7.0,6,1,5.0,3.0,4.111111111111111,1.0,1.5,2.25,4.0,2.0,2.75,2.75,2.0,2.0,3.6666666666666665,4.0,4.2,3.0,2.5833333333333335,3.761904761904762,3.5,3.75,4.0,4.75,4.0,3.888888888888889,4.0,1.5,2.6,2.75,2.5,2.75,2.3333333333333335,2.6666666666666665,1.75,2.0
4,1,4,5,4,4,4,4,4,3,3,3,5,5,4,4,5,4.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,4,5,5,4,4,5,5,5,4,4,4,4,5,5,3,3,5,5,4,4,5,5,4,4,3,3,5,5,4,4,5,5,4,4,3,3,4,5,6,5.0,6.0,6.0,4,4,5,5,5,4,4,4,4,5,5,5,4,4,1,1,survey,4,5,5,4,3,3,4,4,5,4,5,5,5,4,4,4,5,5,4,4,5,4,4,4,4,5,5,5,4,4,3,3,4,3,4,5,4,4,5,5,5,4,4,4,3,3,3,4,4,5,4,5,4,4,3,3,3,4,4,4,3,2,2,4,4,6,6,5,5,5,6,4,4,3,2,7,7,6,6,6,5,5,4,4,5,3,3,3,5,5,4,4,5,5,5,5,4,4,4,4,5,5,4,4,3,3,4,4,4,5,8,15,1,2,45,8.0,2,3.0,1,31,7.0,white,US,1,4.0,2,15,5,3,canada,5.0,4,1,4.333333333333333,4.0,4.0,4.666666666666667,4.666666666666667,4.5,4.5,4.5,4.0,4.5,3.6666666666666665,4.25,4.666666666666667,3.6,5.6,4.5,3.8333333333333335,4.761904761904762,4.083333333333333,4.0,4.0,4.75,4.25,4.555555555555555,4.666666666666667,3.8333333333333335,4.2,4.5,3.5,4.0,4.333333333333333,4.666666666666667,3.5,3.6666666666666665
4,1,4,4,4,4,3,3,4,4,4,3,3,5,5,5,5,4.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,4,4,4,5,4,4,3,3,4,4,3,4,4,4,3,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,4,4,2,3,3,2,2,4,5,5.0,5.0,5.0,3,4,4,4,4,4,5,5,5,5,5,5,55,45,2,3,survey,4,4,4,3,3,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,3,4,4,4,4,5,5,5,3,3,4,4,4,4,3,3,3,4,4,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,4,4,4,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,11,3,1,3,44,8.64982269503546,2,3.0,1,53,5.0,white,usa,1,11.0,2,2,2,2,france,3.0,1,1,4.0,3.3333333333333335,4.222222222222222,4.0,3.6666666666666665,4.25,3.6666666666666665,3.75,3.75,3.25,3.0,3.0,3.6666666666666665,2.4,4.8,4.416666666666667,3.8333333333333335,3.4761904761904763,3.9166666666666665,3.5,3.5,3.5,3.5,3.888888888888889,4.0,3.6666666666666665,4.0,4.0,3.75,4.75,3.3333333333333335,4.0,3.25,3.3333333333333335
