travfreq,aircrew,empl,jobsat1,jobsat2,jobsat3,roleover1,roleover2,roleover3,workadj1,workadj2,workadj3,workadj4,workadj5,workadj6,workadj7,workadj8,workadj9,turnover1,turnover2,turnover3,wneglect1,wneglect2,wneglect3,wneglect4,wneglect5,wneglect6,wsitcon1,wsitcon2,wsitcon3,wsitcon4,wrclar1,wrclar2,wrclar3,wrclar4,wrclar5,wrclar6,wtimepres1,wtimepres2,wtimepres3,wtimepres4,wnovel1,wnovel2,wnovel3,wnovel4,wcowinsexphelp 1,wcowinsexphelp 2,wcowinsexphelp 3,wcowinsexphelp 4,wroleconflict 1,wroleconflict 2,wroleconflict 3,wintconflictd 1,wintconflictd 2,wintconflictd 3,wintconflictd 4,wintconflictf 1,wintconflictf 2,wintconflictf 3,wemotdem 1,wemotdem 2,wemotdem 3,wemotdem 4,wemotdem 5,wpeopresp1,wpeopresp2,wpeopresp3,wpeopresp4,wpeopresp5,wallcowexp1,wallcowexp2,wallcowexp3,wallcowexp4,wallcowexp5,wallcowexp6,wallcowexp7,wallcowexp8,wallcowexp9,wallcowexp10,wallcowexp11,wallcowexp12,cowint,cowdep,wteams,wcom,,fsat1,fsat2,fsat3,fneglect1,fneglect2,fneglect3,fneglect4,fneglect5,fneglect6,fadj1,fadj2,fadj3,fadj4,fadj5,fadj6,fadj7,fadj8,fadj9,wfc1,wfc2,wfc3,wfc4,wfc5,ftimepres1,ftimepres2,ftimepres3,ftimepres4,check2,faminstexp1,faminstexp2,faminstexp3,faminstexp4,femotdem1,femotdem2,femotdem3,femotdem4,froleover1,froleover2,froleover3,froleconf1,froleconf2,froleconf3,fintconfd1,fintconfd2,fintconfd3,fintconfd4,fintconff1,fintconff2,fintconff3,famallexp1,famallexp2,famallexp3,famallexp4,famallexp5,famallexp6,famallexp7,famallexp8,famallexp9,famallexp10,famallexp11,famallexp12,burn1,burn2,burn3,burn4,burn5,burn6,burn7,burn8,burn9,burn10,burn11,burn12,burn13,burn14,burn15,burn16,burn17,burn18,burn19,burn20,burn21,supsup1,cowsup1,parsup1,famsup1,supsup2,cowsup2,parsup2,famsup2,supsup3,cowsup3,parsup3,famsup3,supsup4,cowsup4,parsup4,famsup4,cogflex1,cogflex2,cogflex3,cogflex4,cogflex5,cogflex6,cogflex7,cogflex8,cogflex9,cogflex10,cogflex11,cogflex12,houswork,childwork,marstat,children,whours,tenure,position,education,gender,age,industry,otherindustry,nationality,residence,lang,feeltravel,yearstravel,numbertravel,daysknowtravel,meettravel,flytravel,countrytravel,daystrip,reasontrip,otherreasontrip,weekendtrip
5,2,1,4,5,4,5,4,5,5,4,5,4,5,5,4,5,5,4,5,5,5,4,5,5,4,5,5,4,4,5,5,4,4,5,5,4,5,4,5,5,5,4,5,4,5,4,5,4,4,5,4,5,3,4,4,5,3,4,4,5,4,4,3,6,5,4,5,6,5,4,5,4,4,5,4,5,5,4,5,5,15,25,35,25,survey,5,4,5,5,4,5,4,5,4,4,5,4,5,4,5,4,4,5,5,4,4,5,4,4,5,4,5,5,4,5,4,5,4,4,5,5,4,5,4,5,5,4,4,5,4,4,5,5,5,3,4,3,4,4,5,3,4,5,4,5,5,3,6,6,5,4,5,6,5,4,4,5,3,4,5,3,4,4,3,3,4,4,4,5,4,5,3,4,3,5,5,4,5,4,3,4,5,5,5,4,3,4,5,4,4,3,5,4,5,5,5,3,1,2,75,5,2,1,1,30,5,,american,united states,spanish,1,10,5,7,5,2,france,5,3,,2
3,2,1,4,4,4,3,2,3,3,3,3,3,4,3,3,4,4,3,2,3,2,2,2,2,1,2,2,3,2,2,3,3,4,3,4,4,3,2,2,2,3,3,3,3,2,3,3,3,3,3,4,2,2,2,2,2,2,2,3,4,3,2,3,3,4,4,4,4,3,3,3,3,3,3,3,3,4,3,3,3,10,3,2,1,survey,3,4,4,4,4,2,2,1,2,3,3,4,3,3,3,2,2,3,3,3,3,2,2,3,4,2,3,5,3,2,2,3,3,1,3,3,2,2,3,3,2,2,2,2,2,1,2,2,3,3,3,3,3,3,4,4,3,4,3,3,3,2,2,6,3,4,4,1,1,3,3,3,1,1,2,2,2,2,3,2,5,1,4,4,4,4,3,4,3,4,4,4,4,4,3,4,4,4,2,2,2,2,3,3,3,3,2,2,2,2,3,2,1,1,40,5,3,2,1,35,13,Customer Service,Italian,USA,None,3,3,1,30,2,2,Canada,3,2,,1
3,2,1,4,4,4,4,4,4,4,4,3,4,3,4,4,4,4,2,2,2,2,3,3,2,2,3,2,4,2,2,4,3,4,2,4,4,2,3,2,4,1,1,1,1,1,3,2,2,2,2,2,2,2,2,2,3,3,3,2,4,3,3,3,4,3,5,4,4,4,4,4,4,3,4,4,3,3,3,3,3,4,1,1,0,survey,4,4,4,2,2,3,3,2,2,4,3,4,4,4,4,4,4,4,3,4,4,4,3,2,4,4,4,5,4,5,5,5,4,2,3,3,3,3,4,4,3,3,2,2,2,2,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,4,5,5,4,5,5,5,5,5,5,3,4,3,4,4,5,3,3,4,4,4,4,5,5,4,4,5,4,4,4,5,5,4,2,2,4,2,4,4,4,4,2,4,4,10,10,1,2,50,4,3,3,1,50,7,,american,us,none,1,5,1,30,3,1,canada,4,5,,3
4,2,1,4,4,4,3,3,3,3,3,3,3,3,3,3,3,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,4,4,4,4,4,4,4,4,4,4,3,3,3,3,4,4,4,3,3,3,3,3,3,3,3,3,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,5,5,1,1,survey,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,5,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,3,3,4,4,4,4,3,3,3,3,4,4,4,4,4,3,4,4,3,3,3,4,4,4,4,4,4,4,4,3,4,3,3,3,3,4,4,4,4,3,3,3,3,4,4,2,0,60,10,4,3,1,35,6,,USA,USA,spanish,2,5,1,14,2,2,USA,5,3,,3
3,2,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,1,2,2,2,2,2,5,5,5,5,5,3,3,3,3,3,3,3,3,5,3,3,3,3,8,1,12,Survey,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,5,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,5,5,5,5,4,4,4,4,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,3,0,1,1,40,14,2,4,1,39,3,,African american,USA,English,1,14,5,5,3,2,Canada,4,1,,3
4,2,1,5,5,5,5,1,2,5,5,5,4,3,4,3,4,4,3,2,3,1,2,1,1,1,1,2,2,2,2,5,4,5,4,5,4,2,2,2,2,3,3,3,4,4,5,2,2,3,3,4,1,2,1,2,1,1,2,1,4,5,2,2,6,6,5,6,6,4,4,4,5,2,2,2,1,2,1,3,2,3,3,2,2,survey,5,4,5,1,2,1,1,1,2,4,4,4,5,4,4,4,4,4,2,2,2,2,2,2,3,2,2,5,2,4,3,2,5,1,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,3,3,2,3,4,4,4,4,4,4,4,4,4,4,4,4,5,7,4,3,2,2,2,2,2,7,3,3,2,4,2,1,4,3,5,2,3,3,5,5,2,2,5,5,5,5,5,5,5,1,2,4,3,3,4,4,4,1,1,5,7,2,3,0,65,14,1,3,2,45,8,,White American,USA,N/A,1,7,1,14,3,2,UK,5,3,,1
3,2,1,5,5,4,4,4,3,4,4,4,2,3,2,2,2,3,5,4,4,4,5,4,1,1,2,3,4,3,4,3,4,4,4,3,3,2,3,2,4,2,4,4,4,3,5,5,5,3,4,4,1,2,4,3,3,3,4,3,3,3,2,2,1,4,4,4,5,3,3,4,4,4,3,3,4,3,3,3,3,6,4,2,3,survey,3,3,4,4,3,2,2,1,1,3,3,4,5,5,4,2,2,3,4,4,4,4,4,5,5,5,5,5,5,4,5,5,4,4,2,2,3,3,4,3,2,2,2,2,2,2,4,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,4,6,5,4,6,5,3,3,4,5,4,4,4,4,4,3,3,5,5,5,3,4,4,3,4,4,4,4,4,4,3,3,3,3,3,3,5,2,3,4,4,4,4,4,4,2,4,4,12,12,1,1,46,1,4,1,1,38,5,,puerto rican,usa,spanish,3,2,1,7,3,2,canada,4,2,,1
3,2,1,5,5,5,2,1,2,5,5,5,5,3,3,5,4,5,1,1,2,1,1,1,1,1,1,1,2,1,1,5,5,5,5,5,5,1,3,2,1,3,1,5,5,2,5,2,4,1,2,1,2,3,4,3,3,2,2,4,5,2,1,2,5,3,4,3,3,3,4,3,4,4,2,3,2,3,1,3,4,7,4,2,none,survey,5,5,5,2,1,3,1,1,2,5,4,4,5,5,5,5,5,5,1,1,2,1,1,1,1,2,2,5,3,2,2,3,5,1,1,1,1,5,2,1,1,1,2,1,1,1,2,2,2,3,2,4,3,4,3,5,4,5,4,4,5,2,1,6,3,3,7,3,2,1,1,1,1,1,3,3,2,1,1,1,1,7,5,4,5,5,4,5,5,5,5,5,5,5,2,3,5,5,3,4,2,4,3,2,3,4,4,4,3,4,7,72,1,3,58,7,4,2,1,33,9,,Italian and Puerto Rican,United States,Spanish and Italian,1,3,2,14,3,1,canada,2,4,,2
3,2,1,4,4,4,4,4,4,3,4,2,2,4,4,3,2,2,2,2,3,1,1,1,1,1,1,4,4,3,4,4,5,4,4,5,4,3,3,4,4,2,2,2,1,5,5,5,5,4,3,4,3,3,4,3,4,3,4,2,2,4,3,3,4,5,5,5,6,4,5,5,5,5,5,5,5,5,5,5,5,15,10,1,1,survey,4,4,4,1,1,1,1,1,1,3,4,4,4,4,4,4,4,5,5,4,5,4,4,4,4,4,4,5,4,5,4,5,5,2,3,2,4,3,4,4,2,4,2,2,2,2,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,3,4,6,6,4,5,2,4,5,4,5,5,4,4,4,4,3,4,3,5,2,3,5,5,2,3,5,5,2,3,5,5,2,3,5,5,4,3,1,3,2,4,1,5,5,1,5,5,10,15,1,2,45,4,2,4,2,34,8,,American,USA,None,3,2,1,21,3,3,England,3,2,,2
4,2,1,5,5,5,5,1,1,5,5,5,5,5,5,5,5,5,1,1,1,1,3,1,1,1,1,1,5,1,1,5,5,5,5,5,5,1,1,1,1,5,5,5,5,5,5,5,5,1,1,1,5,1,5,5,5,5,5,5,5,5,1,1,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,35,15,10,10,survey,5,5,5,5,5,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,1,5,5,1,1,1,1,5,5,5,5,5,5,5,5,5,1,5,1,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,7,1,1,7,1,1,1,1,1,1,1,1,1,1,1,1,7,7,1,5,5,5,5,5,5,5,5,5,4,4,5,5,5,5,5,5,3,1,5,1,5,5,5,5,5,5,5,10,12,1,2,30,15,1,4,2,50,11,,american,new york,spanish,1,10,3,20,10,3,italy,15,4,,1
3,2,1,4,5,4,3,3,4,3,4,3,2,3,5,4,4,4,2,1,2,4,4,4,3,3,4,3,3,2,3,4,4,4,4,5,4,2,3,2,2,4,3,3,3,4,3,3,4,3,4,3,1,1,1,1,2,2,3,3,4,2,2,2,4,5,4,6,5,4,3,3,4,4,4,5,5,4,3,4,4,25,5,2,2,survey,4,4,4,2,2,3,2,2,4,4,3,4,4,4,3,4,4,4,3,4,4,2,3,2,2,3,2,5,4,3,3,3,5,1,1,1,2,5,2,1,1,1,1,1,1,1,1,1,2,4,4,5,4,4,4,5,5,5,5,4,4,3,2,5,4,3,6,3,2,2,2,1,1,2,2,1,3,2,1,6,5,3,5,4,5,5,4,4,5,5,5,4,5,5,4,3,5,5,4,2,2,4,2,4,4,5,4,4,4,4,12,6,1,3,45,6,2,3,1,39,12,,American,USA,none,2,12,1,30,4,2,Singapore,5,2,,1
3,2,1,4,4,4,2,4,2,5,5,4,4,2,3,3,2,2,2,2,2,1,4,1,1,1,1,2,4,2,1,5,5,5,4,5,5,2,2,2,2,4,4,4,4,4,5,5,5,2,1,3,3,3,3,3,4,4,4,4,4,4,2,2,1,1,6,1,1,4,5,5,4,1,4,4,5,5,5,5,1,20,0,0,0,survey,3,3,3,1,5,2,1,2,1,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,5,1,1,1,1,1,1,1,1,2,4,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,3,4,4,3,4,4,4,4,3,1,4,4,4,2,1,1,3,3,4,2,2,2,2,2,3,1,1,2,3,1,1,2,2,1,1,5,1,1,4,1,5,5,5,4,1,5,4,2,0,2,0,35,8,2,1,2,34,9,,American,US,none,2,8,1,30,1,2,Canada,2,5,,2
3,2,1,5,5,5,2,2,2,5,5,4,5,4,5,5,4,4,2,2,1,2,1,1,1,1,1,1,2,2,1,4,4,4,3,4,4,2,2,2,2,3,2,3,2,2,5,5,5,1,1,2,1,1,1,1,2,2,3,4,4,2,1,2,5,5,5,5,6,5,5,5,5,5,5,5,5,5,5,4,4,15,5,5,4,survey,5,4,5,1,1,2,1,1,1,4,4,4,4,4,4,4,4,4,2,4,3,3,3,2,2,3,3,5,5,5,5,5,4,1,2,2,2,4,2,2,2,2,1,1,2,1,2,2,3,5,5,5,5,5,5,5,5,5,5,3,4,2,1,6,2,2,6,2,1,2,2,1,1,2,1,1,1,1,1,6,5,2,5,4,3,3,5,5,5,5,4,4,4,4,3,3,3,3,4,2,2,4,1,5,4,4,4,2,5,5,5,5,1,1,45,15,1,4,1,48,5,,USA,USA,Spanish,1,20,2,45,5,2,Europe,7,1,,1
4,2,1,5,5,5,5,2,1,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,1,1,1,1,2,3,3,3,2,5,5,5,2,2,1,1,1,1,1,1,1,1,1,5,5,1,1,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,20,10,3,1,survey,5,5,5,5,1,1,1,1,1,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,5,2,2,2,2,5,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,4,5,5,5,5,5,5,5,5,5,5,5,5,4,3,7,3,3,7,4,3,3,3,3,3,3,3,3,3,3,3,7,7,3,5,4,5,4,5,5,5,5,5,5,4,5,5,5,5,5,4,2,1,5,1,5,5,5,2,1,5,5,6,0,2,2,40,5,2,2,2,23,7,,Caucasion,USA,None,1,5,3,15,4,1,Canada,3,5,,3
3,2,1,4,4,4,3,5,4,4,5,4,4,4,4,4,4,4,2,2,2,1,2,2,2,2,3,2,2,2,3,5,5,5,4,5,4,4,3,4,5,1,1,3,2,2,3,3,3,3,1,2,2,2,2,2,2,2,2,3,3,3,2,2,3,5,4,5,5,3,4,4,3,3,3,4,3,3,3,3,3,5,2,1,2,survey,4,4,5,3,3,4,2,2,2,3,3,3,3,3,3,3,3,3,5,5,4,4,4,2,3,5,3,5,4,4,4,4,4,3,4,4,2,2,5,3,2,3,2,2,2,2,2,2,2,5,5,5,4,4,5,5,5,5,5,5,5,4,3,5,4,4,5,4,3,3,3,3,4,3,3,3,3,3,3,5,5,4,3,2,2,2,4,4,5,4,2,3,5,5,3,2,5,4,3,2,2,2,2,4,4,4,4,2,4,4,10,10,2,1,40,12,1,3,2,37,5,,American,United States,NO other language,1,9,1,90,2,2,India,6,1,,3
